id,board_from,alight_to,arr_time
1,1,5,07:00:26.431718
2,1,5,07:00:52.863436
3,1,8,07:01:18.614509
4,1,9,07:01:45.163182
5,1,4,07:02:11.711855
6,1,4,07:02:37.573924
7,1,8,07:03:04.005642
8,1,4,07:03:29.646668
9,1,10,07:03:55.397741
10,1,7,07:04:21.148814
11,1,4,07:04:47.349687
12,1,5,07:05:13.100760
13,1,4,07:05:39.532478
14,1,10,07:06:05.733351
15,1,3,07:06:31.374377
16,1,8,07:06:57.923050
17,1,3,07:07:24.010007
18,1,3,07:07:49.984033
19,1,5,07:08:16.532706
20,1,4,07:08:42.173732
21,1,5,07:09:07.924805
22,1,2,07:09:34.591472
23,1,7,07:10:00.232498
24,1,7,07:10:26.319455
25,1,4,07:10:52.751173
26,1,6,07:11:19.417840
27,1,8,07:11:45.279909
28,1,10,07:12:11.711627
29,1,2,07:12:38.143345
30,1,10,07:13:04.459134
31,1,8,07:13:30.890852
32,1,8,07:13:57.206641
33,1,10,07:14:23.407514
34,1,6,07:14:49.158587
35,1,6,07:15:15.590305
36,1,10,07:15:41.906094
37,1,9,07:16:07.547120
38,1,4,07:16:33.862909
39,1,2,07:16:59.949866
40,1,10,07:17:25.590892
41,1,5,07:17:51.452961
42,1,2,07:18:16.984876
43,1,4,07:18:42.625902
44,1,2,07:19:08.376975
45,1,3,07:19:34.239044
46,1,10,07:19:59.880070
47,1,7,07:20:25.521096
48,1,6,07:20:51.162122
49,1,8,07:21:16.694037
50,1,2,07:21:42.668063
51,1,10,07:22:08.309089
52,1,3,07:22:34.283115
53,1,5,07:23:00.370072
54,1,7,07:23:26.570945
55,1,5,07:23:52.657902
56,1,4,07:24:18.631928
57,1,9,07:24:44.832801
58,1,7,07:25:11.381474
59,1,6,07:25:37.697263
60,1,10,07:26:03.898136
61,1,2,07:26:30.213925
62,1,6,07:26:56.075994
63,1,4,07:27:21.827067
64,1,4,07:27:47.578140
65,1,10,07:28:13.329213
66,1,5,07:28:39.080286
67,1,6,07:29:05.512004
68,1,7,07:29:32.178671
69,1,10,07:29:58.152697
70,1,2,07:30:24.468486
71,1,2,07:30:50.109512
72,1,5,07:31:16.658185
73,1,8,07:31:42.973974
74,1,2,07:32:08.836043
75,1,2,07:32:34.923000
76,1,9,07:33:00.897026
77,1,9,07:33:26.538052
78,1,8,07:33:52.069967
79,1,7,07:34:17.710993
80,1,3,07:34:44.259666
81,1,6,07:35:10.010739
82,1,10,07:35:36.326528
83,1,2,07:36:02.642317
84,1,10,07:36:28.616343
85,1,3,07:36:55.283010
86,1,6,07:37:21.257036
87,1,8,07:37:47.343993
88,1,5,07:38:13.892666
89,1,2,07:38:39.979623
90,1,8,07:39:05.953649
91,1,3,07:39:32.620316
92,1,3,07:39:59.168989
93,1,2,07:40:24.920062
94,1,3,07:40:50.671135
95,1,8,07:41:16.986924
96,1,5,07:41:43.418642
97,1,5,07:42:08.950557
98,1,2,07:42:35.499230
99,1,9,07:43:01.140256
100,1,10,07:43:27.114282
101,1,2,07:43:53.662955
102,1,6,07:44:19.978744
103,1,10,07:44:45.729817
104,1,4,07:45:11.591886
105,1,6,07:45:38.140559
106,1,6,07:46:04.341432
107,1,6,07:46:29.873347
108,1,3,07:46:55.847373
109,1,2,07:47:21.709442
110,1,9,07:47:48.025231
111,1,7,07:48:13.557146
112,1,2,07:48:40.105819
113,1,6,07:49:05.856892
114,1,10,07:49:31.388807
115,1,9,07:49:57.704596
116,1,7,07:50:23.791553
117,1,2,07:50:49.653622
118,1,6,07:51:15.854495
