id,board_from,alight_to,arr_time
1,1,2,07:00:25.974026
2,1,4,07:00:52.522699
3,1,6,07:01:18.609656
4,1,4,07:01:44.360729
5,1,2,07:02:10.792447
6,1,6,07:02:37.224165
7,1,5,07:03:03.655883
8,1,10,07:03:29.296909
9,1,7,07:03:55.497782
10,1,6,07:04:21.929500
11,1,9,07:04:48.016457
12,1,4,07:05:13.657483
13,1,10,07:05:39.408556
14,1,2,07:06:06.075223
15,1,4,07:06:32.741890
16,1,8,07:06:58.715916
17,1,3,07:07:25.264589
18,1,10,07:07:50.905615
19,1,2,07:08:17.221404
20,1,4,07:08:43.422277
21,1,4,07:09:09.173350
22,1,8,07:09:34.924423
23,1,6,07:10:01.011380
24,1,7,07:10:27.560053
25,1,3,07:10:54.226720
26,1,8,07:11:20.658438
27,1,10,07:11:46.974227
28,1,4,07:12:13.640894
29,1,9,07:12:40.072612
30,1,7,07:13:06.159569
31,1,2,07:13:32.133595
32,1,7,07:13:58.107621
33,1,6,07:14:24.423410
34,1,5,07:14:50.397436
35,1,2,07:15:16.598309
36,1,9,07:15:43.264976
37,1,6,07:16:09.696694
38,1,8,07:16:36.128412
39,1,6,07:17:01.990481
40,1,9,07:17:27.852550
41,1,4,07:17:53.939507
42,1,10,07:18:19.580533
43,1,8,07:18:46.012251
44,1,9,07:19:12.328040
45,1,6,07:19:38.079113
46,1,4,07:20:03.830186
47,1,9,07:20:30.031059
48,1,4,07:20:56.697726
49,1,2,07:21:23.013515
50,1,7,07:21:48.875584
51,1,2,07:22:15.076457
52,1,2,07:22:41.743124
53,1,5,07:23:07.830081
54,1,4,07:23:33.917038
55,1,2,07:23:59.448953
56,1,2,07:24:25.649826
57,1,3,07:24:51.965615
58,1,6,07:25:17.716688
59,1,4,07:25:43.690714
60,1,2,07:26:09.441787
61,1,6,07:26:35.990460
62,1,8,07:27:01.852529
63,1,8,07:27:27.603602
64,1,7,07:27:53.804475
65,1,8,07:28:20.005348
66,1,2,07:28:46.554021
67,1,6,07:29:12.085936
68,1,2,07:29:38.634609
69,1,3,07:30:05.301276
70,1,8,07:30:31.275302
71,1,8,07:30:57.476175
72,1,10,07:31:23.907893
73,1,3,07:31:49.881919
74,1,10,07:32:15.743988
75,1,8,07:32:41.944861
76,1,6,07:33:07.806930
77,1,9,07:33:33.558003
78,1,3,07:33:59.758876
79,1,5,07:34:25.290791
80,1,2,07:34:50.931817
81,1,5,07:35:17.132690
82,1,8,07:35:43.681363
