id,board_from,alight_to,arr_time
1,1,5,07:00:26.315789
2,1,9,07:00:52.177858
3,1,10,07:01:18.493647
4,1,7,07:01:44.467673
5,1,8,07:02:11.016346
6,1,2,07:02:37.217219
7,1,8,07:03:03.191245
8,1,7,07:03:29.622963
9,1,4,07:03:56.171636
10,1,5,07:04:22.603354
11,1,6,07:04:48.690311
12,1,4,07:05:15.238984
13,1,5,07:05:41.325941
14,1,10,07:06:07.412898
15,1,5,07:06:33.274967
16,1,10,07:06:58.915993
17,1,6,07:07:24.447908
18,1,6,07:07:50.763697
19,1,5,07:08:16.964570
20,1,5,07:08:43.051527
21,1,3,07:09:09.367316
22,1,8,07:09:35.915989
23,1,4,07:10:02.231778
24,1,3,07:10:28.093847
25,1,6,07:10:53.734873
26,1,2,07:11:19.821830
27,1,7,07:11:46.137619
28,1,2,07:12:12.111645
29,1,10,07:12:38.543363
30,1,5,07:13:04.744236
31,1,10,07:13:30.385262
32,1,10,07:13:56.933935
33,1,9,07:14:22.907961
34,1,6,07:14:48.548987
35,1,7,07:15:14.300060
36,1,9,07:15:40.731778
37,1,7,07:16:07.163496
38,1,9,07:16:33.712169
39,1,8,07:16:59.574238
40,1,3,07:17:25.436307
41,1,8,07:17:51.868025
42,1,6,07:18:17.509051
43,1,3,07:18:43.260124
44,1,3,07:19:09.234150
45,1,8,07:19:35.435023
46,1,4,07:20:02.101690
47,1,10,07:20:28.417479
48,1,8,07:20:54.168552
49,1,8,07:21:20.484341
50,1,3,07:21:46.125367
51,1,10,07:22:12.557085
52,1,3,07:22:38.308158
53,1,5,07:23:04.509031
54,1,8,07:23:30.150057
55,1,6,07:23:56.124083
56,1,7,07:24:22.324956
57,1,10,07:24:48.873629
58,1,4,07:25:14.847655
59,1,7,07:25:41.048528
60,1,10,07:26:06.799601
61,1,10,07:26:33.000474
62,1,2,07:26:58.532389
63,1,8,07:27:24.506415
64,1,9,07:27:51.055088
65,1,7,07:28:17.370877
66,1,7,07:28:43.457834
67,1,5,07:29:10.006507
68,1,7,07:29:36.438225
69,1,6,07:30:02.639098
70,1,6,07:30:29.187771
71,1,6,07:30:55.161797
72,1,3,07:31:20.693712
73,1,8,07:31:47.009501
74,1,4,07:32:12.650527
75,1,10,07:32:38.851400
76,1,2,07:33:04.492426
77,1,4,07:33:30.133452
78,1,3,07:33:55.995521
79,1,5,07:34:21.969547
80,1,10,07:34:48.285336
81,1,4,07:35:14.834009
82,1,4,07:35:41.265727
83,1,8,07:36:07.239753
84,1,6,07:36:33.906420
85,1,7,07:37:00.107293
86,1,4,07:37:26.194250
87,1,7,07:37:52.625968
88,1,5,07:38:19.292635
89,1,6,07:38:45.154704
90,1,7,07:39:11.241661
91,1,2,07:39:37.103730
92,1,6,07:40:03.419519
93,1,9,07:40:29.968192
94,1,9,07:40:56.283981
95,1,7,07:41:22.146050
96,1,5,07:41:48.120076
97,1,2,07:42:14.094102
98,1,7,07:42:40.642775
99,1,4,07:43:07.074493
100,1,4,07:43:32.715519
101,1,6,07:43:58.802476
102,1,2,07:44:24.664545
103,1,4,07:44:50.865418
104,1,5,07:45:16.506444
105,1,2,07:45:42.822233
106,1,10,07:46:08.463259
107,1,8,07:46:34.325328
108,1,2,07:46:59.966354
109,1,4,07:47:26.515027
110,1,6,07:47:52.377096
111,1,6,07:48:18.692885
112,1,6,07:48:45.008674
113,1,9,07:49:10.540589
114,1,8,07:49:37.089262
115,1,10,07:50:03.176219
116,1,4,07:50:28.817245
117,1,10,07:50:55.018118
118,1,7,07:51:21.449836
119,1,4,07:51:47.881554
120,1,2,07:52:13.522580
121,1,5,07:52:39.384649
122,1,9,07:53:04.916564
123,1,5,07:53:31.465237
124,1,5,07:53:57.552194
125,1,5,07:54:23.867983
126,1,5,07:54:50.068856
127,1,10,07:55:15.600771
128,1,7,07:55:41.687728
129,1,10,07:56:07.888601
130,1,3,07:56:33.975558
131,1,3,07:57:00.062515
132,1,6,07:57:26.036541
133,1,4,07:57:52.237414
134,1,5,07:58:18.211440
135,1,10,07:58:44.527229
136,1,10,07:59:10.168255
137,1,5,07:59:36.716928
138,1,10,08:00:02.803885
139,1,4,08:00:29.119674
140,1,2,08:00:55.206631
141,1,6,08:01:21.180657
142,1,4,08:01:47.612375
143,1,3,08:02:13.144290
144,1,6,08:02:39.231247
145,1,8,08:03:05.093316
146,1,7,08:03:30.955385
147,1,5,08:03:56.706458
148,1,9,08:04:22.457531
149,1,5,08:04:48.208604
150,1,2,08:05:14.640322
151,1,8,08:05:40.841195
152,1,2,08:06:07.389868
153,1,6,08:06:33.030894
154,1,9,08:06:59.462612
155,1,8,08:07:25.436638
156,1,7,08:07:51.523595
157,1,2,08:08:17.610552
158,1,5,08:08:43.142467
159,1,9,08:09:09.574185
160,1,9,08:09:36.240852
161,1,5,08:10:02.441725
162,1,6,08:10:28.303794
163,1,5,08:10:54.504667
164,1,3,08:11:20.036582
165,1,3,08:11:46.468300
166,1,10,08:12:13.016973
167,1,5,08:12:39.565646
168,1,6,08:13:05.652603
169,1,4,08:13:31.739560
170,1,5,08:13:57.601629
171,1,10,08:14:23.463698
172,1,9,08:14:49.895416
173,1,8,08:15:16.096289
174,1,7,08:15:42.644962
175,1,5,08:16:09.193635
176,1,4,08:16:35.742308
